playerID,name,hits,age,team_ID,lg_ID,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,onbase_plus_slugging_plus,TB,GIDP,HBP,SH,SF,IBB,pos_season,award_summary
mcelrch01,Chuck McElroy,Left,30,COL,NL,75,6,5,0,1,0,0,0,0,0,0,0,3,0.2,0.2,0.2,0.4,-2,1,0,0,1,0,0,1,
burbada01,Dave Burba,Right,31,CLE,AL,2,6,6,1,1,0,0,1,2,0,0,0,1,0.167,0.167,0.667,0.833,101,4,0,0,0,0,0,1,
averyst01,Steve Avery,Left,28,BOS,AL,6,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,1/H,
yoshima01,Masato Yoshii,Right,33,NYM,NL,27,59,48,3,3,1,0,0,3,0,0,3,27,0.063,0.118,0.083,0.201,-45,4,0,0,8,0,0,1,
olsongr01,Gregg Olson,Right,31,ARI,NL,62,2,2,1,1,0,0,1,2,0,0,0,1,0.5,0.5,2,2.5,518,4,0,0,0,0,0,1,
schilcu01,Curt Schilling,Right,31,PHI,NL,33,91,76,3,10,2,0,0,3,0,0,3,26,0.132,0.165,0.158,0.322,-15,12,0,0,12,0,0,1,AS
byrdpa01,Paul Byrd,Right,27,TOT,NL,9,20,18,1,3,0,0,0,1,0,0,1,7,0.167,0.25,0.167,0.417,12,3,0,1,0,0,0,/1,
leitema01,Mark Leiter,Right,35,PHI,NL,66,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0,1,
portuma01,Mark Portugal,Right,35,PHI,NL,24,58,50,6,13,5,0,0,4,0,0,4,10,0.26,0.315,0.36,0.675,76,18,2,0,4,0,0,1,
perezyo01,Yorkis Perez,Left,30,PHI,NL,54,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,1,
spradje01,Jerry Spradlin,Both,31,PHI,NL,65,1,1,0,1,1,0,0,0,0,0,0,0,1,1,2,3,660,2,0,0,0,0,0,1,
bottari01,Ricky Bottalico,Left,28,PHI,NL,38,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,
greenty01,Tyler Green,Right,28,PHI,NL,25,51,41,2,6,1,0,0,3,0,0,2,21,0.146,0.178,0.171,0.349,-8,7,0,0,6,2,0,1,
gomeswa01,Wayne Gomes,Right,25,PHI,NL,68,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0,1,
loeweca01,Carlton Loewer,Right,24,PHI,NL,20,43,35,4,3,0,0,0,1,0,0,3,10,0.086,0.158,0.086,0.244,-34,3,1,0,5,0,0,1,
beechma01,Matt Beech,Left,26,PHI,NL,20,39,33,2,5,0,0,0,2,0,0,0,10,0.152,0.152,0.152,0.303,-20,5,1,0,6,0,0,1,
gracemi02,Mike Grace,Right,28,PHI,NL,21,28,23,1,2,0,0,0,1,0,0,2,11,0.087,0.16,0.087,0.247,-33,2,1,0,3,0,0,1,
winstda01,Darrin Winston,Right,31,PHI,NL,27,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,1,
ryanke01,Ken Ryan,Right,29,PHI,NL,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,1,
saundto01,Tony Saunders,Left,24,TBD,AL,1,2,2,0,2,0,0,0,0,0,0,0,0,1,1,1,2,423,2,0,0,0,0,0,1,
paintla01,Lance Painter,Left,30,STL,NL,62,2,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,430,1,0,0,1,0,0,1,
osunaan01,Antonio Osuna,Right,25,LAD,NL,50,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,1,
myersra01,Randy Myers,Left,35,TOT,MLB,25,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,1,
daalom01,Omar Daal,Left,26,ARI,NL,33,56,46,3,5,0,0,0,1,0,0,5,17,0.109,0.196,0.109,0.305,-17,5,1,0,5,0,0,1,
belchti01,Tim Belcher,Right,36,KCR,AL,2,6,5,1,1,0,0,0,0,0,0,0,2,0.2,0.2,0.2,0.4,5,1,0,0,1,0,0,1,
colonba01,Bartolo Colon,Right,25,CLE,AL,1,2,2,0,1,0,0,0,1,0,0,0,1,0.5,0.5,0.5,1,159,1,0,0,0,0,0,1,AS
mantema01,Matt Mantei,Right,24,FLA,NL,38,3,3,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,81,1,0,0,0,0,0,1,
