playerID,name,throws,age,team_ID,lg_ID,W,L,win_loss_perc,earned_run_avg,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,batters_faced,earned_run_avg_plus,fip,whip,hits_per_nine,home_runs_per_nine,bases_on_balls_per_nine,strikeouts_per_nine,strikeouts_per_base_on_balls,award_summary
mantema01,Matt Mantei,Right,24,FLA,NL,3,4,0.429,2.96,42,0,23,0,0,9,54.2,38,19,18,1,23,3,63,7,0,0,224,137,2.72,1.116,6.3,0.2,3.8,10.4,2.74,
beckro01,Rod Beck,Right,29,CHC,NL,3,4,0.429,3.02,81,0,70,0,0,51,80.1,86,33,27,11,20,4,81,2,0,2,349,145,3.72,1.32,9.6,1.2,2.2,9.1,4.05,MVP-18
kileda01,Darryl Kile,Right,29,COL,NL,13,17,0.433,5.2,36,35,1,4,1,0,230.1,257,141,133,28,96,4,158,7,0,12,1020,100,4.69,1.533,10,1.1,3.8,6.2,1.65,
darwida01,Danny Darwin,Right,42,SFG,NL,8,10,0.444,5.51,33,25,2,0,0,0,148.2,176,97,91,23,49,4,81,3,0,4,660,73,5.11,1.513,10.7,1.4,3,4.9,1.65,
martipe02,Pedro Martínez,Right,26,BOS,AL,19,7,0.731,2.89,33,33,0,3,2,0,233.2,188,82,75,26,67,3,251,8,0,9,951,163,3.4,1.091,7.2,1,2.6,9.7,3.75,"AS,CYA-2,MVP-21"
ashbyan01,Andy Ashby,Right,30,SDP,NL,17,9,0.654,3.34,33,33,0,5,1,0,226.2,223,90,84,23,58,8,151,7,0,7,939,117,3.99,1.24,8.9,0.9,2.3,6,2.6,AS
seleaa01,Aaron Sele,Right,28,TEX,AL,19,11,0.633,4.23,33,33,0,3,2,0,212.2,239,116,100,14,84,6,167,13,0,4,954,113,3.79,1.519,10.1,0.6,3.6,7.1,1.99,AS
reynoar02,Armando Reynoso,Right,32,NYM,NL,7,3,0.7,3.82,11,11,0,0,0,0,68.1,64,31,29,4,32,3,40,5,2,2,292,110,4.35,1.405,8.4,0.5,4.2,5.3,1.25,
piscima01,Marc Pisciotta,Right,27,CHC,NL,1,2,0.333,4.09,43,0,12,0,0,0,44,44,21,20,4,32,3,31,2,0,6,206,108,5.23,1.727,9,0.8,6.5,6.3,0.97,
klinest02,Steve Kline,Left,25,MON,NL,3,6,0.333,2.76,78,0,18,0,0,1,71.2,62,25,22,4,41,7,76,3,0,5,319,153,3.59,1.437,7.8,0.5,5.1,9.5,1.85,
oroscje01,Jesse Orosco,Left,41,BAL,AL,4,1,0.8,3.18,69,0,26,0,0,7,56.2,46,20,20,6,28,1,50,1,1,3,243,143,4.29,1.306,7.3,1,4.4,7.9,1.79,
nenro01,Robb Nen,Right,28,SFG,NL,7,7,0.5,1.52,78,0,67,0,0,40,88.2,59,21,15,4,25,5,110,1,0,3,357,266,2.12,0.947,6,0.4,2.5,11.2,4.4,AS
guthrma01,Mark Guthrie,Left,32,LAD,NL,2,1,0.667,3.5,53,0,11,0,0,0,54,56,26,21,3,24,1,45,2,0,2,241,116,3.64,1.481,9.3,0.5,4,7.5,1.88,
bereja01,Jason Bere,Right,27,TOT,MLB,6,9,0.4,5.65,27,22,2,0,0,0,127.1,137,91,80,17,78,0,84,3,0,8,588,80,5.46,1.688,9.7,1.2,5.5,5.9,1.08,
clemero02,Roger Clemens,Right,35,TOR,AL,20,6,0.769,2.65,33,33,0,5,3,0,234.2,169,78,69,11,88,0,271,7,0,6,961,174,2.65,1.095,6.5,0.4,3.4,10.4,3.08,"AS,CYA-1,MVP-11"
shawje01,Jeff Shaw,Right,31,TOT,NL,3,8,0.273,2.12,73,0,69,0,0,48,85,75,22,20,8,19,5,55,1,0,0,339,200,3.77,1.106,7.9,0.8,2,5.8,2.89,AS
pettian01,Andy Pettitte,Left,26,NYY,AL,16,11,0.593,4.24,33,32,0,5,0,0,216.1,226,110,102,20,87,1,146,6,0,5,932,104,4.28,1.447,9.4,0.8,3.6,6.1,1.68,
shueypa01,Paul Shuey,Right,27,CLE,AL,5,4,0.556,3,43,0,16,0,0,2,51,44,19,17,6,25,5,58,3,0,3,222,159,4.04,1.353,7.8,1.1,4.4,10.2,2.32,
rhodear01,Arthur Rhodes,Left,28,BAL,AL,4,4,0.5,3.51,45,0,10,0,0,4,77,65,30,30,8,34,2,83,1,1,1,321,129,3.7,1.286,7.6,0.9,4,9.7,2.44,
wakefti01,Tim Wakefield,Right,31,BOS,AL,17,8,0.68,4.58,36,33,1,2,0,0,216,211,123,110,30,79,1,146,14,1,6,939,103,4.88,1.343,8.8,1.3,3.3,6.1,1.85,
hershor01,Orel Hershiser,Right,39,SFG,NL,11,10,0.524,4.41,34,34,0,0,0,0,202,200,105,99,22,85,7,126,13,0,12,887,91,4.76,1.411,8.9,1,3.8,5.6,1.48,
francjo01,John Franco,Left,37,NYM,NL,0,8,0,3.62,61,0,54,0,0,38,64.2,66,28,26,4,29,7,59,4,0,2,289,117,3.65,1.469,9.2,0.6,4,8.2,2.03,
keyji01,Jimmy Key,Left,37,BAL,AL,6,3,0.667,4.2,25,11,4,0,0,0,79.1,77,39,37,5,23,0,53,3,1,1,327,108,3.61,1.261,8.7,0.6,2.6,6,2.3,
mcmicgr01,Greg McMichael,Right,31,TOT,NL,5,4,0.556,4.1,64,0,19,0,0,2,68,81,39,31,9,35,10,55,4,1,6,317,103,4.96,1.706,10.7,1.2,4.6,7.3,1.57,
