playerID,name,hits,AVG,SLG,OBA,G,AB,R,H,RBI,2B,3B,HR,SAC,SB,CS,SO,BB,HBP,TB
gomeswa01,Wayne Gomes,Right,0,0,0,68,2,0,0,0,0,0,0,0,0,0,2,0,0,0
gonzaju03,Juan Gonzalez,Right,0.3184818481848185,0.6303630363036303,0.3723404255319149,154,606,110,193,157,50,2,45,11,2,1,126,46,6,382
gracemi02,Mike Grace,Right,0.08695652173913043,0.08695652173913043,0.16,21,23,1,2,1,0,0,0,3,0,0,11,2,0,2
greensh01,Shawn Green,Left,0.2777777777777778,0.5095238095238095,0.3357664233576642,158,630,106,175,100,33,4,35,4,35,12,142,50,5,321
greenty01,Tyler Green,Right,0.14634146341463414,0.17073170731707318,0.18604651162790697,25,41,2,6,3,1,0,0,8,0,0,21,2,0,7
griffke02,Ken Griffey Jr.,Left,0.2843601895734597,0.6113744075829384,0.36731843575418993,161,633,120,180,146,33,3,56,4,20,5,121,76,7,387
grissma02,Marquis Grissom,Right,0.27121771217712176,0.38191881918819187,0.3045774647887324,142,542,57,147,60,28,1,10,4,13,8,78,24,2,207
groombu01,Buddy Groom,Left,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guerrvl01,Vladimir Guerrero,Right,0.32423756019261635,0.5890850722311396,0.37351190476190477,159,623,108,202,109,37,7,38,5,11,9,95,42,7,367
guthrma01,Mark Guthrie,Right,0,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hammoje01,Jeffrey Hammonds,Right,0.2801556420233463,0.4280155642023346,0.38127090301003347,89,257,50,72,39,16,2,6,7,8,3,56,39,3,110
heltoto01,Todd Helton,Left,0.3150943396226415,0.530188679245283,0.3837011884550085,152,530,78,167,97,37,1,25,6,3,3,54,53,6,281
henderi01,Rickey Henderson,Right,0.23616236162361623,0.34686346863468637,0.3774436090225564,152,542,101,128,57,16,1,14,5,66,13,114,118,5,188
hershor01,Orel Hershiser,Right,0.15151515151515152,0.18181818181818182,0.2,34,66,7,10,1,2,0,0,8,1,0,16,3,1,12
jeffegr01,Gregg Jefferies,Both,0.3009009009009009,0.41081081081081083,0.3367521367521368,144,555,72,167,58,28,3,9,7,12,3,32,29,1,228
jeterde01,Derek Jeter,Right,0.3242811501597444,0.48083067092651754,0.3851744186046512,149,626,127,203,84,25,8,19,6,30,6,119,57,5,301
jonesan01,Andruw Jones,Right,0.27147766323024053,0.5154639175257731,0.3226837060702875,159,582,89,158,90,33,8,31,5,27,4,129,40,4,300
jonesch06,Chipper Jones,Both,0.31281198003327787,0.5474209650582362,0.40830945558739257,160,601,123,188,107,29,5,34,9,16,6,93,96,1,329
jordake01,Kevin Jordan,Right,0.276,0.352,0.3038461538461538,112,250,23,69,27,13,0,2,1,0,0,30,8,2,88
justida01,David Justice,Left,0.2796296296296296,0.4759259259259259,0.3685064935064935,146,540,94,151,88,39,2,21,9,9,3,98,76,0,257
karroer01,Eric Karros,Right,0.2958579881656805,0.47534516765285995,0.3590664272890485,139,507,59,150,87,20,1,23,7,7,2,93,47,3,241
kendaja01,Jason Kendall,Right,0.32710280373831774,0.47289719626168225,0.4165316045380875,149,535,95,175,75,36,3,12,10,26,5,51,51,31,253
kentje01,Jeff Kent,Right,0.2965779467680608,0.5551330798479087,0.3653516295025729,137,526,94,156,128,37,3,31,11,9,4,110,48,9,292
kileda01,Darryl Kile,Right,0.2535211267605634,0.323943661971831,0.29333333333333333,37,71,5,18,5,5,0,0,9,0,0,22,4,0,23
kleskry01,Ryan Klesko,Left,0.27400468384074944,0.47306791569086654,0.36213991769547327,129,427,69,117,70,29,1,18,4,5,3,66,56,3,202
klinest02,Steve Kline,Both,0,0,0,73,4,0,0,0,0,0,0,1,0,0,1,0,0,0
knoblch01,Chuck Knoblauch,Right,0.26533996683250416,0.4046434494195688,0.36441893830703015,150,603,117,160,64,25,4,17,9,31,12,70,76,18,244
knorrra01,Randy Knorr,Right,0.20408163265306123,0.4489795918367347,0.22,15,49,4,10,11,4,1,2,1,0,0,10,1,0,22
langsma01,Mark Langston,Right,0.08333333333333333,0.125,0.15384615384615385,22,24,0,2,2,1,0,0,4,0,0,9,2,0,3
lankfra01,Ray Lankford,Left,0.2926829268292683,0.5403377110694184,0.39389067524115756,154,533,94,156,105,37,1,31,4,26,5,151,86,3,288
lansimi01,Mike Lansing,Right,0.2756849315068493,0.410958904109589,0.32643312101910826,153,584,73,161,66,39,2,12,10,10,3,88,39,5,240
larkiba01,Barry Larkin,Right,0.30855018587360594,0.5037174721189591,0.3990306946688207,145,538,93,166,72,34,10,17,7,26,3,69,79,2,271
ledesaa01,Aaron Ledesma,Right,0.32441471571906355,0.3979933110367893,0.34627831715210355,95,299,30,97,29,16,3,0,6,9,7,51,9,1,119
leitema01,Mark Leiter,Right,0,0,0,66,2,0,0,0,0,0,0,0,0,0,2,0,0,0
lewisma01,Mark Lewis,Right,0.24903474903474904,0.34942084942084944,0.3163444639718805,142,518,52,129,54,21,2,9,11,3,3,111,48,3,181
leyriji01,Jim Leyritz,Right,0.2757352941176471,0.46691176470588236,0.39009287925696595,114,272,34,75,42,16,0,12,5,0,0,74,42,9,127
liebemi01,Mike Lieberthal,Right,0.25559105431309903,0.3993610223642173,0.3086053412462908,86,313,39,80,45,15,3,8,5,2,1,44,17,7,125
loeweca01,Carlton Loewer,Right,0.08571428571428572,0.08571428571428572,0.15789473684210525,20,35,4,3,1,0,0,0,5,0,0,10,3,0,3
loftoke01,Kenny Lofton,Left,0.2816666666666667,0.41333333333333333,0.37445573294629897,154,600,101,169,64,31,6,12,9,54,10,80,87,2,248
lopezja01,Javy Lopez,Right,0.2842535787321063,0.5398773006134969,0.3333333333333333,133,489,73,139,106,21,1,34,9,5,3,85,30,6,264
lukema01,Matt Luke,Left,0.23430962343096234,0.4435146443514644,0.28793774319066145,104,239,34,56,34,12,1,12,2,2,1,60,17,1,106
mabryjo01,John Mabry,Left,0.2493368700265252,0.3793103448275862,0.30637254901960786,142,377,41,94,46,22,0,9,5,0,2,76,30,1,143
maddugr01,Greg Maddux,Right,0.24,0.28,0.27848101265822783,31,75,4,18,4,3,0,0,6,0,1,18,4,0,21
mageewe01,Wendell Magee,Right,0.29333333333333333,0.44,0.35365853658536583,20,75,9,22,11,6,1,1,0,0,0,11,7,0,33
mantema01,Matt Mantei,Right,0.3333333333333333,0.3333333333333333,0.3333333333333333,38,3,0,1,0,0,0,0,0,0,0,0,0,0,1
martipe02,Pedro Martinez,Right,0,0,0,2,7,0,0,0,0,0,0,0,0,0,5,0,0,0
martira02,Ramon Martinez,Left,0.17647058823529413,0.2647058823529412,0.17647058823529413,15,34,3,6,1,1,1,0,5,0,0,16,0,0,9
mcelrch01,Chuck McElroy,Left,0.2,0.2,0.2,75,5,0,1,0,0,0,0,1,0,0,3,0,0,1
mcgwima01,Mark McGwire,Right,0.29862475442043224,0.7524557956777996,0.4726735598227474,155,509,130,152,147,21,0,70,4,1,0,155,162,6,383
mclemma01,Mark McLemore,Both,0.2472885032537961,0.31670281995661603,0.3713768115942029,126,461,79,114,53,15,1,5,15,12,4,64,89,2,146
mcmicgr01,Greg McMichael,Right,0,0,0,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0
molitpa01,Paul Molitor,Right,0.28087649402390436,0.38247011952191234,0.34124087591240876,126,502,75,141,69,29,5,4,11,9,2,41,45,1,192
mondera01,Raul Mondesi,Right,0.2793103448275862,0.496551724137931,0.3181076672104405,148,580,85,162,90,26,5,30,4,16,10,112,30,3,288
moranmi01,Mickey Morandini,Left,0.29553264604810997,0.3848797250859107,0.3815987933634992,154,582,93,172,53,20,4,8,6,13,1,84,72,9,224
mussimi01,Mike Mussina,Left,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0
myersra01,Randy Myers,Left,0,0,0,25,1,0,0,0,0,0,0,0,0,0,1,0,0,0
nenro01,Robb Nen,Right,0,0,0,75,3,0,0,0,0,0,0,0,0,0,2,0,0,0
