playerID,name,AVG,SLG,OBA,G,AB,R,H,RBI,2B,3B,HR,SAC,SB,CS,SO,BB,E,PH,HBP,PB,TB
nixonot01,Otis Nixon,0.275862069,0.275862069,0.3,10,29,6,8,,,,,,1,,4,1,,1,,,8
nomohi01,Hideo Nomo,0.142857143,0.142857143,0.142857143,2,7,,1,1,,,,,,,2,,,,,,1
nunnajo01,Jon Nunnally,0,0,0.222222222,6,7,,,1,,,,,,,,2,,,,,0
offerjo01,Jose Offerman,0.307692308,0.346153846,0.419354839,9,26,10,8,1,1,,,,1,,2,5,2,,,,9
olsongr01,Gregg Olson,1,1,1,3,1,,1,,,,,,,,,,,,,,1
oroscje01,Jesse Orosco,0,0,0,8,1,,,,,,,,,,,,,,,,0
osunaan01,Antonio Osuna,,,,7,,,,,,,,,,,,,,,,,0
paintla01,Lance Painter,,,,7,,,,,,,,,,,,,,,,,0
palmera01,Rafael Palmeiro,0.25,0.5,0.322580645,9,28,6,7,7,1,,2,1,,1,2,3,1,,,,14
parenma01,Mark Parent,0.166666667,0.166666667,0.166666667,6,12,,2,,,,,,,,4,,,,,1,2
parkch01,Chan Ho Park,0,0,0,4,8,,,,,,,1,,,1,,,,,,0
percitr01,Troy Percival,,,,4,,,,,,,,,,,,,1,,,,0
perezed01,Eduardo Perez,0,0,0,2,5,,,,,,,,,,,,,,,,0
perezyo01,Yorkis Perez,,,,10,,,,,,,,,,,,,,,,,0
pettian01,Andy Pettitte,0,0,0,3,8,,,,,,,1,,1,4,,,,,,0
piazzmi01,Mike Piazza,0.303030303,0.515151515,0.342857143,16,66,9,20,14,2,,4,,,2,9,4,4,,,1,34
piscima01,Marc Pisciotta,,,,5,,,,,,,,,,,,,,,,,0
plunker01,Eric Plunk,,,,1,,,,,,,,,,,,,,,,,
portuma01,Mark Portugal,0.5,0.833333333,0.625,3,6,1,3,1,2,,,,,,1,2,,,,,5
posadjo01,Jorge Posada,0.421052632,1.315789474,0.476190476,8,19,6,8,7,2,,5,,,1,5,2,1,2,,,25
prattto02,Todd Pratt,0.363636364,0.909090909,0.363636364,6,22,4,8,7,6,,2,,,,9,,5,,,,20
princto01,Tom Prince,0,0,0,4,2,,,,,,,,,,1,,,,,,0
ramirma02,Manny Ramirez,0.294117647,0.411764706,0.294117647,12,34,5,10,5,1,,1,,,,6,,,1,,,14
relafde01,Desi Relaford,0.219512195,0.243902439,0.255813953,13,41,2,9,2,1,,,,1,,11,1,2,1,1,,10
renteed01,Edgar Renteria,0.173913043,0.217391304,0.254901961,14,46,6,8,2,2,,,,1,,11,5,3,,,,10
reynoar02,Armando Reynoso,0.25,0.25,0.4,3,4,,1,1,,,,1,,,2,1,,,,,1
rhodear01,Arthur Rhodes,0,0,0,8,1,,,,,,,,,,,,,,,,0
ripkeca01,Cal Ripken Jr.,0.1875,0.375,0.35,7,16,1,3,4,,,1,,,,2,4,,1,,,6
riverma01,Mariano Rivera,,,,6,,,,,,,,,,,,,,,,,0
roberbi01,Bip Roberts,0.111111111,0.111111111,0.111111111,5,9,,1,,,,,,,,,,,,,,1
rockejo01,John Rocker,,,,2,,,,,,,,,,,,,,,,,0
rodrial01,Alex Rodriguez,0.352941176,0.68627451,0.377358491,13,51,11,18,14,,1,5,1,2,,13,1,,,1,,35
rodriiv01,Ivan Rodriguez,0.340425532,0.489361702,0.38,13,47,5,16,13,4,,1,1,2,,7,3,,,,,23
rogerke01,Kenny Rogers,0,0,0.1,4,9,2,,,,,,1,,,2,1,,,,,0
rolensc01,Scott Rolen,0.21875,0.4375,0.285714286,17,64,9,14,8,6,1,2,,,1,15,6,,,,,28
runyase01,Sean Runyan,,,,6,,,,,,,,,,,,,,,,,0
ryanke01,Ken Ryan,,,,1,,,,,,,,,,,,,,,,,
sandere02,Reggie Sanders,0,0,0,4,3,,,1,,,,,,,1,,,,,,0
saundto01,Tony Saunders,0.5,0.5,0.666666667,3,4,,2,,,,,,,,1,2,,,,,2
scanlbo01,Bob Scanlan,,,,4,,,,,,,,,,,,,,,,,0
schilcu01,Curt Schilling,0.090909091,0.090909091,0.090909091,4,11,,1,,,,,1,,,1,,1,,,,1
sefcike01,Kevin Sefcik,0.361111111,0.444444444,0.425,11,36,4,13,3,3,,,,1,1,10,4,,1,,,16
seleaa01,Aaron Sele,0.4,0.5,0.4,4,10,1,4,3,1,,,,,,2,,,,,,5
servasc01,Scott Servais,0.095238095,0.095238095,0.136363636,6,21,1,2,1,,,,,,,3,1,,,,,2
