playerID,name,throws,ERA,W,L,SV,AVG_against,G,GS,CG,IP,ER,H,SO,BB,HBP,WP,BK,GameG,GameIP,GameER,GameHits,GameSO,GameW,GameL,GameSV,GameBB,ER_should_have,Hits_should_have,SO_should_have,W_should_have,L_should_have,SV_should_have,BB_should_have,ER_deviation,Hits_deviation,SO_deviation,W_deviation,L_deviation,SV_deviation,BB_deviation
bereja01,Jason Bere,Right,5.65,6,9,0,0.2643256801080456,27,22,0,127.1,80,137,84,78,3,8,0,3,14,16,26,11,1,1,0,5,8.78888888888889,15.090479937057435,9.252557041699449,0.6666666666666666,1,0,8.59166011014949,7.21111111111111,10.909520062942565,1.7474429583005513,0.33333333333333337,0,0,-3.5916601101494905
bohanbr01,Brian Bohanon,Left,2.67,7,11,0,0.21058127392969025,39,18,2,151.2,45,121,111,57,11,3,0,4,32,16,7,25,3,1,0,8,9.493333333333332,25.60846560846561,23.492063492063494,0.717948717948718,1.1282051282051282,0,12.063492063492065,6.506666666666668,-18.60846560846561,1.5079365079365061,2.282051282051282,-0.1282051282051282,0,-4.063492063492065
bottari01,Ricky Bottalico,Right,6.44,1,5,6,0.2945990180032733,39,0,0,43.1,31,54,27,25,1,2,0,2,2.67,4,3,2,0,0,0,3,1.9105333333333334,3.3452436194895587,1.6726218097447794,0.05128205128205128,0.2564102564102564,0.3076923076923077,1.548723897911833,2.0894666666666666,-0.34524361948955873,0.32737819025522064,-0.05128205128205128,-0.2564102564102564,-0.3076923076923077,1.451276102088167
botteke01,Kent Bottenfield,Right,4.44,4,6,4,0.2426080363912055,44,17,0,133.2,66,128,98,57,4,3,2,7,18,12,28,12,0,2,0,4,8.88,17.2972972972973,13.243243243243244,0.6363636363636364,0.9545454545454545,0.6363636363636364,7.702702702702703,3.119999999999999,10.702702702702702,-1.2432432432432439,-0.6363636363636364,1.0454545454545454,-0.6363636363636364,-3.7027027027027026
brownke01,Kevin Brown,Right,2.38,18,7,0,0.22590361445783133,36,35,7,257,68,225,257,49,10,10,0,4,31.67,8,19,27,2,1,0,7,8.374955555555555,27.726653696498055,31.67,2,0.7777777777777778,0,6.038249027237354,-0.37495555555555526,-8.726653696498055,-4.670000000000002,0,0.2222222222222222,0,0.9617509727626459
burbada01,Dave Burba,Right,4.11,15,10,0,0.25622254758418744,32,31,0,203.2,93,210,132,69,7,6,0,2,10.67,13,21,6,0,0,0,3,4.872633333333334,11.02706692913386,6.931299212598426,0.9375,0.625,0,3.623179133858268,8.127366666666667,9.97293307086614,-0.9312992125984261,-0.9375,-0.625,0,-0.623179133858268
byrdpa01,Paul Byrd,Right,2.68,5,2,0,0.20833333333333334,9,8,2,57,17,45,39,18,0,2,0,4,21.33,11,26,16,1,3,0,7,6.3516,16.839473684210525,14.59421052631579,2.2222222222222223,0.8888888888888888,0,6.73578947368421,4.6484,9.160526315789475,1.4057894736842105,-1.2222222222222223,2.111111111111111,0,0.26421052631579034
clemero02,Roger Clemens,Right,2.65,20,6,0,0.19389628269848555,33,33,5,234.2,69,169,271,88,7,6,0,3,25,13,19,24,2,0,0,3,7.361111111111111,18.040136635354397,28.928266438941076,1.8181818181818183,0.5454545454545454,0,9.393680614859095,5.638888888888889,0.959863364645603,-4.928266438941076,0.18181818181818166,-0.5454545454545454,0,-6.393680614859095
colonba01,Bartolo Colon,Right,3.71,14,9,0,0.25091799265605874,31,31,6,204,84,205,158,79,3,4,0,3,23,11,18,19,1,2,0,8,9.481111111111112,23.112745098039216,17.813725490196077,1.3548387096774193,0.870967741935484,0,8.906862745098039,1.5188888888888883,-5.112745098039216,1.1862745098039227,-0.35483870967741926,1.129032258064516,0,-0.9068627450980387
cookde01,Dennis Cook,Left,2.38,8,4,1,0.22727272727272727,73,0,0,68,18,60,79,27,3,1,1,6,7,1,4,7,1,1,0,3,1.8511111111111112,6.1764705882352935,8.132352941176471,0.6575342465753424,0.3287671232876712,0.0821917808219178,2.7794117647058822,-0.8511111111111112,-2.1764705882352935,-1.132352941176471,0.34246575342465757,0.6712328767123288,-0.0821917808219178,0.22058823529411775
