playerID,name,hits,AVG,SLG,OBA,G,AB,R,H,RBI,2B,3B,HR,SAC,SB,CS,SO,BB,HBP,TB,GameAB,GameH,GameTB,GameG,GameR,GameRBI,Game2B,Game3B,GameHR,GameSB,H_should_have,TB_should_have,R_should_have,RBI_should_have,2B_should_have,3B_should_have,HR_should_have,SB_should_have,H_deviation,TB_deviation,R_deviation,RBI_deviation,2B_deviation,3B_deviation,HR_deviation,SB_deviation
bondsba01,Barry Bonds,Left,0.302536231884058,0.6086956521739131,0.4420289855072464,156,552,120,167,122,44,7,37,7,28,12,92,130,8,336,42,14,34,12,13,13,0,1,6,2,12.706521739130435,25.56521739130435,9.230769230769232,9.384615384615385,3.3478260869565215,0.532608695652174,2.815217391304348,2.1538461538461537,1.2934782608695645,8.434782608695649,3.7692307692307683,3.615384615384615,-3.3478260869565215,0.46739130434782605,3.184782608695652,-0.15384615384615374
bonilbo01,Bobby Bonilla,Both,0.24924924924924924,0.38738738738738737,0.3315508021390374,100,333,39,83,45,11,1,11,6,1,2,59,41,0,129,21,5,8,7,2,3,0,0,1,0,5.234234234234234,8.135135135135135,2.73,3.15,0.6936936936936936,0.06306306306306306,0.6936936936936936,0.07,-0.23423423423423362,-0.1351351351351351,-0.73,-0.1499999999999999,-0.6936936936936936,-0.06306306306306306,0.3063063063063064,-0.07
boonebr01,Bret Boone,Right,0.2658662092624357,0.45797598627787306,0.32598425196850395,157,583,76,155,95,38,1,24,13,6,4,104,48,4,267,25,5,8,9,2,5,0,0,1,0,6.646655231560892,11.449399656946827,4.356687898089172,5.445859872611464,1.6295025728987993,0.04288164665523156,1.0291595197255576,0.34394904458598724,-1.6466552315608922,-3.4493996569468273,-2.356687898089172,-0.4458598726114644,-1.6295025728987993,-0.04288164665523156,-0.029159519725557637,-0.34394904458598724
botteke01,Kent Bottenfield,Right,0.08823529411764706,0.08823529411764706,0.08823529411764706,42,34,3,3,2,0,0,0,5,0,0,9,0,0,3,3,0,0,4,0,0,0,0,0,0,0.2647058823529412,0.2647058823529412,0.2857142857142857,0.19047619047619047,0,0,0,0,-0.2647058823529412,-0.2647058823529412,-0.2857142857142857,-0.19047619047619047,0,0,0,0
brognri01,Rico Brogna,Left,0.26548672566371684,0.44601769911504424,0.3241042345276873,153,565,77,150,104,36,3,20,10,7,7,125,49,0,252,56,10,11,17,2,7,1,0,0,0,14.867256637168143,24.976991150442476,8.555555555555555,11.555555555555555,3.568141592920354,0.29734513274336283,1.9823008849557522,0.7777777777777777,-4.867256637168143,-13.976991150442476,-6.555555555555555,-4.555555555555555,-2.568141592920354,-0.29734513274336283,-1.9823008849557522,-0.7777777777777777
brownke01,Kevin Brown,Right,0.2073170731707317,0.24390243902439024,0.2441860465116279,34,82,4,17,10,3,0,0,7,0,0,29,4,0,20,12,1,1,4,1,0,0,0,0,0,2.4878048780487805,2.926829268292683,0.47058823529411764,1.1764705882352942,0.4390243902439024,0,0,0,-1.4878048780487805,-1.9268292682926829,0.5294117647058824,-1.1764705882352942,-0.4390243902439024,0,0,0
burbada01,Dave Burba,Right,0.16666666666666666,0.6666666666666666,0.16666666666666666,2,6,1,1,2,0,0,1,0,0,0,1,0,0,4,3,0,0,2,1,0,0,0,0,0,0.5,2,1,2,0,0,0.5,0,-0.5,-2,0,-2,0,0,-0.5,0
burnije01,Jeromy Burnitz,Left,0.2627257799671593,0.49917898193760263,0.34260614934114203,161,609,92,160,125,28,1,38,8,7,4,158,70,4,304,13,2,2,8,0,0,0,0,0,0,3.415435139573071,6.489326765188834,4.571428571428571,6.211180124223603,0.5977011494252873,0.02134646962233169,0.8111658456486043,0.34782608695652173,-1.4154351395730709,-4.489326765188834,-4.571428571428571,-6.211180124223603,-0.5977011494252873,-0.02134646962233169,-0.8111658456486043,-0.34782608695652173
bushho01,Homer Bush,Right,0.38028169014084506,0.4647887323943662,0.42105263157894735,45,71,17,27,5,3,0,1,2,6,3,19,5,0,33,12,0,0,4,0,0,0,0,0,0,4.563380281690141,5.577464788732394,1.511111111111111,0.4444444444444444,0.5070422535211268,0,0.16901408450704225,0.5333333333333333,-4.563380281690141,-5.577464788732394,-1.511111111111111,-0.4444444444444444,-0.5070422535211268,0,-0.16901408450704225,-0.5333333333333333
byrdpa01,Paul Byrd,Right,0.16666666666666666,0.16666666666666666,0.25,9,18,1,3,1,0,0,0,0,0,0,7,1,1,3,7,1,1,3,0,1,0,0,0,0,1.1666666666666665,1.1666666666666665,0.3333333333333333,0.3333333333333333,0,0,0,0,-0.16666666666666652,-0.16666666666666652,-0.3333333333333333,0.6666666666666667,0,0,0,0
